City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mount Isa,AU,84.2,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
1,Mitsamiouli,KM,81.32,light rain,-11.3847,43.2844,Foyer ADM
2,Geraldton,AU,89.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
11,Santa Marta,CO,82.0,few clouds,11.2408,-74.199,Casa de Isabella
13,Twante,MM,86.0,broken clouds,16.7167,95.9333,Dream Land
21,Alofi,NU,82.4,clear sky,-19.0595,-169.9187,Taloa Heights
25,Tessalit,ML,82.13,clear sky,20.1986,1.0114,
28,Kaduqli,SD,80.74,overcast clouds,11.0167,29.7167,فندق الله جابو
35,Hithadhoo,MV,83.34,overcast clouds,-0.6,73.0833,Scoop Guest House
40,Carnarvon,AU,86.0,light rain,-24.8667,113.6333,Hospitality Carnarvon
44,Behbahan,IR,82.4,broken clouds,30.5959,50.2417,شهرکدامداران ماهشهر
45,Simao,CN,80.73,clear sky,22.7886,100.9748,Changyu Hotel
57,Avarua,CK,82.4,scattered clouds,-21.2078,-159.775,Paradise Inn
58,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
59,Isangel,VU,86.0,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
66,Ouallam,NE,82.44,scattered clouds,14.3188,2.0866,
68,Atuona,PF,80.87,broken clouds,-9.8,-139.0333,Villa Enata
75,Meulaboh,ID,82.54,few clouds,4.1363,96.1285,Kost Pria
80,Kavieng,PG,81.43,moderate rain,-2.5744,150.7967,Nusa Island Retreat
81,Banda Aceh,ID,84.51,scattered clouds,5.5577,95.3222,Sulthan Hotel International
91,Butaritari,KI,82.15,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
93,Ternate,ID,83.88,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
101,Yarada,IN,84.2,haze,17.65,83.2667,Jeevan
116,Georgetown,MY,87.8,few clouds,5.4112,100.3354,Cititel Penang
119,Kousseri,CM,80.6,clear sky,12.0769,15.0306,Le Pilotis
128,Cabo San Lucas,MX,80.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
150,Matamoros,MX,87.8,clear sky,25.5333,-103.25,Quinta Belem
156,Pandan,PH,82.85,scattered clouds,14.0453,124.1694,Bonifacio Lodge
157,Malabo,GQ,80.6,few clouds,3.75,8.7833,Hostal Residencia Morenita
159,Taoudenni,ML,80.19,clear sky,22.6783,-3.9836,
166,Dingle,PH,87.15,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
172,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
178,Labuhan,ID,81.88,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
184,Hervey Bay,AU,87.8,broken clouds,-25.2986,152.8535,Shelly Bay Resort
196,Weligama,LK,81.63,few clouds,5.9667,80.4167,Weligama Bay Resort
201,Pakxan,LA,87.13,light rain,18.3778,103.6601,Kong Kham Pheng Guesthouse
202,Neiafu,TO,80.6,scattered clouds,-18.65,-173.9833,Mystic Sands
207,Wukari,NG,81.03,overcast clouds,7.85,9.7833,Elimtop
209,Namatanai,PG,82.17,light rain,-3.6667,152.4333,Namatanai Hotel
214,Faanui,PF,82.6,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
