City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Mount Isa,AU,-20.7333,139.5,84.2,21,14,16.11,few clouds,2021-04-11 03:11:31
1,Mitsamiouli,KM,-11.3847,43.2844,81.32,76,94,8.81,light rain,2021-04-11 03:11:32
2,Geraldton,AU,-28.7667,114.6,89.6,33,85,25.32,overcast clouds,2021-04-11 03:11:32
3,Tiksi,RU,71.6872,128.8694,0.0,81,21,7.7,few clouds,2021-04-11 03:11:33
4,Namibe,AO,-15.1961,12.1522,79.14,69,45,5.61,scattered clouds,2021-04-11 03:06:36
5,New Norfolk,AU,-42.7826,147.0587,51.01,78,99,3.0,light rain,2021-04-11 03:09:28
6,Zyryanka,RU,65.75,150.85,2.98,78,100,11.95,overcast clouds,2021-04-11 03:11:33
7,Puerto Ayora,EC,-0.7393,-90.3518,75.99,94,76,3.0,broken clouds,2021-04-11 03:11:34
8,Potsdam,DE,52.3989,13.0657,44.01,93,100,1.01,moderate rain,2021-04-11 03:09:17
9,Carbonia,IT,39.1672,8.5222,59.0,94,40,12.66,light rain,2021-04-11 03:11:34
10,Tasiilaq,GL,65.6145,-37.6368,24.8,68,32,14.97,scattered clouds,2021-04-11 03:09:37
11,Santa Marta,CO,11.2408,-74.199,82.0,78,20,5.75,few clouds,2021-04-11 03:11:35
12,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.47,97,86,1.43,overcast clouds,2021-04-11 03:11:35
13,Twante,MM,16.7167,95.9333,86.0,70,75,4.61,broken clouds,2021-04-11 03:11:36
14,Clyde River,CA,70.4692,-68.5914,23.0,80,90,12.66,overcast clouds,2021-04-11 03:11:36
15,Hobart,AU,-42.8794,147.3294,51.01,76,75,17.27,moderate rain,2021-04-11 03:11:00
16,Ribeira Grande,PT,38.5167,-28.7,61.5,93,90,15.99,overcast clouds,2021-04-11 03:11:37
17,Port Lincoln,AU,-34.7333,135.8667,61.65,54,71,13.65,broken clouds,2021-04-11 03:11:37
18,Kodino,RU,63.7198,39.6447,33.37,79,99,12.55,overcast clouds,2021-04-11 03:11:38
19,Maceio,BR,-9.6658,-35.7353,71.6,100,75,5.75,broken clouds,2021-04-11 03:11:38
20,Nikolskoye,RU,59.7035,30.7861,35.01,74,0,6.71,clear sky,2021-04-11 03:09:37
21,Alofi,NU,-19.0595,-169.9187,82.4,69,10,4.61,clear sky,2021-04-11 03:11:38
22,Port Alfred,ZA,-33.5906,26.891,69.08,86,100,4.7,overcast clouds,2021-04-11 03:11:39
23,Iqaluit,CA,63.7506,-68.5145,21.2,93,90,20.71,snow,2021-04-11 03:11:39
24,Port Macquarie,AU,-31.4333,152.9167,78.01,31,1,3.0,clear sky,2021-04-11 03:05:39
25,Tessalit,ML,20.1986,1.0114,82.13,13,1,5.86,clear sky,2021-04-11 03:08:52
26,Upernavik,GL,72.7868,-56.1549,11.93,87,50,7.36,scattered clouds,2021-04-11 03:11:40
27,Iranshahr,IR,27.2025,60.6848,66.2,26,0,1.14,clear sky,2021-04-11 03:07:15
28,Kaduqli,SD,11.0167,29.7167,80.74,9,100,10.58,overcast clouds,2021-04-11 03:09:07
29,Santa Cruz,BO,-17.8,-63.1667,75.2,94,75,9.22,broken clouds,2021-04-11 03:10:03
30,Bonavista,CA,48.6499,-53.1147,39.0,100,100,4.61,light rain,2021-04-11 03:11:41
31,Codrington,AU,-38.2667,141.9667,54.99,60,100,20.94,overcast clouds,2021-04-11 03:11:41
32,Hualmay,PE,-11.0964,-77.6139,69.08,86,100,6.49,overcast clouds,2021-04-11 03:11:41
33,Torbay,CA,47.6666,-52.7314,34.0,100,90,6.91,mist,2021-04-11 03:11:42
34,Zhigansk,RU,66.7697,123.3711,9.61,78,1,16.67,clear sky,2021-04-11 03:11:42
35,Hithadhoo,MV,-0.6,73.0833,83.34,69,92,9.64,overcast clouds,2021-04-11 03:11:42
36,Brae,GB,60.3964,-1.353,32.0,86,89,10.36,overcast clouds,2021-04-11 03:11:43
37,Okhotsk,RU,59.3833,143.3,23.31,87,100,26.75,snow,2021-04-11 03:11:43
38,Castro,BR,-24.7911,-50.0119,59.05,70,6,2.57,clear sky,2021-04-11 03:11:44
39,Fortuna,US,40.5982,-124.1573,46.99,76,1,12.66,clear sky,2021-04-11 03:11:44
40,Carnarvon,AU,-24.8667,113.6333,86.0,70,75,34.52,light rain,2021-04-11 03:11:44
41,Busselton,AU,-33.65,115.3333,59.0,94,100,5.01,moderate rain,2021-04-11 03:09:25
42,Kapaa,US,22.0752,-159.319,75.2,64,75,17.27,broken clouds,2021-04-11 03:11:45
43,Ushuaia,AR,-54.8,-68.3,46.4,66,40,5.75,scattered clouds,2021-04-11 03:07:24
44,Behbahan,IR,30.5959,50.2417,82.4,23,75,9.22,broken clouds,2021-04-11 03:11:45
45,Simao,CN,22.7886,100.9748,80.73,40,0,5.26,clear sky,2021-04-11 03:11:45
46,Bethanien,NA,-26.502,17.1583,70.92,35,0,3.29,clear sky,2021-04-11 03:11:46
47,Cochrane,CA,51.1834,-114.4687,30.99,69,75,24.16,broken clouds,2021-04-11 03:06:47
48,Cap-Aux-Meules,CA,47.3821,-61.8597,33.8,80,23,17.27,few clouds,2021-04-11 03:11:46
49,Yellowknife,CA,62.456,-114.3525,8.6,47,1,8.05,clear sky,2021-04-11 03:09:25
50,Dikson,RU,73.5069,80.5464,27.68,95,100,24.02,snow,2021-04-11 03:09:35
51,Hambantota,LK,6.1241,81.1185,78.8,94,0,4.61,clear sky,2021-04-11 03:11:47
52,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,5.75,clear sky,2021-04-11 03:11:47
53,Rikitea,PF,-23.1203,-134.9692,78.57,75,14,12.12,few clouds,2021-04-11 03:09:31
54,Hyderabad,IN,17.3753,78.4744,77.0,78,40,6.91,haze,2021-04-11 03:08:46
55,Khatanga,RU,71.9667,102.5,21.61,94,100,15.12,light snow,2021-04-11 03:11:48
56,Hastings,GB,50.8552,0.5729,36.0,82,58,1.99,broken clouds,2021-04-11 03:11:49
57,Avarua,CK,-21.2078,-159.775,82.4,78,40,4.61,scattered clouds,2021-04-11 03:11:49
